Device_name,Config_Result
ESS000260,Commit success
MRS000073,Commit success
VAL000052,Commit success
GER004835,Commit success
JAE000015,Commit success
JAE000001,Commit success
BRA000018,Commit success
VLC000752,Commit success
MHG008748,Commit success
ORE000066,Commit success
GER006609,Commit success
LEJ008546,Commit success
VCE000040,Commit success
HUN000060,Commit success
VNE000012,Commit success
SUI000294,Commit success
BER005632,Commit success
MAD000761,Commit success
STR004587,Commit success
MUC000285,Commit success
GER004476,Commit success
LEJ000019,Commit success
QBQ000035,Commit success
QBQ000033,Commit success
UWE000027,Commit success
CFR000039,Commit success
GER004291,Commit success
BOU000022,Commit success
RTM000418,Commit success
FRA005489,Commit success
GER004888,Commit success
CMF000036,Commit success
NLD000610,Commit success
GER004367,Commit success
MUC000733,Commit success
VIE001234,Commit success
HUN000059,Commit success
LIS000557,Commit success
QAL000033,Commit success
SUI000125,Commit success
MAD000450,Commit success
HAM000502,Commit success
ZAZ000002,Commit success
DTM000108,Commit success
NAP000046,Commit success
GER001291,Commit success
MAD000698,Commit success
SUI000288,Commit success
LRH000063,Commit success
BER000540,Commit success
ERF000007,Commit success
ITA000210,Commit success
FRA000607,Commit success
VLC000842,Commit success
VIE001198,Commit success
AGF000022,Commit success
TKY000009,Commit success
ROM000142,Commit success
NTE000048,Commit success
GER004357,Commit success
GER004356,Commit success
XBT000596,Commit success
BCN000556,Commit success
NCY000063,Commit success
VAL000065,Commit success
GER004925,Commit success
GER004926,Commit success
VCE000101,Commit success
ZAF000042,Commit success
QHA048807,Commit success
TFR000019,Commit success
LIL000091,Commit success
GER001229,Commit success
HAM000290,Commit success
LYS000402,Commit success
DUS000681,Commit success
XBK000055,Commit success
BER004896,Commit success
XBT000377,Commit success
LEJ007248,Commit success
QYR000027,Commit success
ROM001132,Commit success
GER004586,Commit success
XPS000174,Commit success
ANE000031,Commit success
ZAF000006,Commit success
GER004746,Commit success
CMR000035,Commit success
VIE000109,Commit success
GER004743,Commit success
TLN000395,Commit success
ZAF000029,Commit success
LON002209,Commit success
URO008243,Commit success
LIS000989,Commit success
MUC001172,Commit success
MUC001171,Commit success
BER000979,Commit success
CUF000004,Commit success
LIG000015,Commit success
LIS000725,Commit success
MIL005230,Commit success
BER000646,Commit success
ENC000040,Commit success
SUI000014,Commit success
GER004368,Commit success
FLR000109,Commit success
GER004868,Commit success
FLR000065,Commit success
BCN000447,Commit success
BFE000022,Commit success
HAM000436,Commit success
CQF000395,Commit success
BER000439,Commit success
USA039198,Commit success
GER004487,Commit success
PRT000085,Commit success
SUI000055,Commit success
TUR000044,Commit success
NUE000202,Commit success
QAM000057,Commit success
ESS00881,Commit success
BER005236,Commit success
AVN000106,Commit success
MEX000018,Commit success
UIP000043,Commit success
BER007457,Commit success
PIS000005,Commit success
MIL001844,Commit success
MEX000017,Commit success
SCN000046,Commit success
MUC000108,Commit success
PGF000030,Commit success
ORE000052,Commit success
QMZ000024,Commit success
CQF000062,Commit success
ZGJ000065,Commit success
CZE000098,Commit success
CZE000091,Commit success
BRU006652,Commit success
ROM000294,Commit success
VAF000028,Commit success
LYS007531,Commit success
MHG000075,Commit success
DIJ000048,Commit success
GER006625,Commit success
GER006624,Commit success
CES000352,Commit success
CES000353,Commit success
SUI002896,Commit success
DTM000016,Commit success
PUF000036,Commit success
STO000030,Commit success
PUF000038,Commit success
EBU000063,Commit success
GER004848,Commit success
STO000035,Commit success
NTE000033,Commit success
TLS000086,Commit success
QMZ000033,Commit success
GER004826,Commit success
EDM000014,Commit success
GER004788,Commit success
ZRH000801,Commit success
MAD001216,Commit success
PMF000054,Commit success
PAR000408,Commit success
CGN000777,Commit success
PGX000030,Commit success
MSR000503,Commit success
LIS000470,Commit success
MIL000553,Commit success
MIL000552,Commit success
POX000196,Commit success
GER004856,Commit success
HAM002675,Commit success
BRU000259,Commit success
